column1,column2
3.758,16.4
4.202,17.8
3.388,14.4
3.26,13.8
0.212,0.8
2.486,10.2
3.528,15.0
1.436,6.0
2.118,8.6
3.124,12.8
2.792,11.6
2.73,11.4
3.556,15.2
2.55,11.0
0.284,1.2
0.316,1.4
0.312,1.4
1.394,5.6
0.208,0.8
3.958,16.4
3.626,15.4
3.576,15.2
1.368,5.6
1.358,5.6
1.504,6.4
1.63,6.6
1.614,6.6
1.41,5.8
1.69,7.0
1.894,7.8
1.706,7.0
1.752,7.2
0.462,1.8
0.394,1.8
0.352,1.6
0.5,2.4
0.416,2.0
0.252,1.0
0.244,1.0
0.26,1.2
0.262,1.2
1.476,7.4
0.566,2.6
0.22,1.0
4.126,18.0
2.17,9.4
1.446,6.2
0.964,4.0
0.208,0.8
0.21,0.8
0.298,1.2
0.204,0.8
5.416,22.8
1.476,6.0
1.622,6.6
1.508,6.2
1.488,6.2
1.306,5.4
3.316,14.0
3.702,15.6
3.62,15.4
2.512,10.2
1.408,5.8
2.586,10.8
1.506,6.8
0.24,1.0
2.82,12.0
2.334,10.0
4.454,19.0
1.756,7.6
2.402,10.2
1.4,5.8
0.248,1.0
0.208,0.8
0.564,2.6
3.278,13.8
1.416,5.8
1.42,6.0
1.516,6.2
1.704,7.2
2.548,10.8
2.922,12.2
3.008,12.6
6.906,30.4
2.526,11.4
2.506,11.2
2.336,9.6
3.442,14.2
1.756,8.2
4.682,19.6
2.99,12.6
6.958,29.4
3.354,14.0
3.388,14.2
4.208,17.8
7.018,29.4
3.678,16.0
2.274,9.4
2.45,10.2
0.71,4.6
2.462,10.0
2.308,9.4
2.384,9.8
0.734,4.8
1.666,7.0
0.712,2.8
1.872,7.6
0.994,4.6
0.484,2.0
0.548,2.2
0.636,2.6
0.628,2.6
0.544,2.2
0.304,1.4
2.018,8.4
0.93,4.0
0.904,3.6
4.37,18.2
1.326,5.8
1.984,8.4
1.966,8.2
3.948,16.4
1.044,4.2
2.414,9.8
2.364,9.6
2.498,10.4
2.63,10.8
2.716,11.2
4.088,17.2
2.348,10.0
3.918,16.8
4.2,17.4
5.042,21.2
2.942,12.2
2.988,12.4
0.81,3.6
0.812,3.6
0.752,3.2
0.572,2.8
0.4,1.8
0.494,2.4
1.568,6.6
1.812,7.4
2.656,11.0
2.634,11.0
0.216,1.0
0.246,1.0
2.184,9.2
1.328,5.4
1.352,5.4
0.342,1.6
0.318,1.4
0.42,2.2
0.85,5.2
0.234,1.0
0.308,1.4
0.228,1.0
1.78,7.4
1.664,6.8
4.904,20.8
3.932,16.4
2.342,10.4
2.418,9.8
2.442,9.8
2.49,10.0
2.47,10.0
2.448,10.0
2.374,9.6
3.496,14.6
3.292,13.8
4.842,20.6
1.286,5.4
1.484,6.0
0.476,2.6
0.472,2.6
0.31,1.4
0.294,1.4
2.592,10.8
0.216,1.0
0.342,1.6
0.356,1.8
0.314,1.4
0.236,1.0
0.346,1.6
0.218,1.0
1.372,5.6
0.988,4.4
2.378,9.8
1.292,5.4
2.088,8.8
2.414,10.0
2.768,11.8
2.65,11.8
2.268,9.6
1.858,8.4
0.628,2.6
0.304,1.4
2.46,10.2
1.084,6.2
0.384,1.6
0.31,1.4
1.512,7.4
0.766,4.8
2.39,10.8
3.596,15.0
2.898,12.0
2.838,12.0
3.402,14.4
3.672,15.4
3.49,14.4
2.698,11.2
3.312,14.0
2.644,11.0
2.366,10.0
2.456,10.4
2.544,10.8
2.43,10.0
3.506,14.8
2.554,10.4
2.544,10.6
2.488,10.2
2.464,10.2
2.448,10.0
2.492,10.2
3.44,14.2
2.64,11.0
1.416,5.8
2.666,11.0
0.458,2.0
0.522,2.4
0.528,2.4
0.374,1.6
0.372,1.6
0.372,1.6
0.538,2.4
0.382,1.6
1.574,6.4
0.376,1.6
0.482,2.0
0.47,2.0
0.366,1.4
0.446,1.8
0.448,2.0
0.438,1.8
0.376,1.6
0.368,1.4
0.52,2.4
0.372,1.6
1.582,6.4
2.104,8.8
2.138,9.0
1.43,6.0
0.426,1.8
1.484,6.0
0.428,2.2
0.432,2.0
1.436,5.8
1.434,5.8
0.266,1.2
0.418,2.0
0.25,1.0
1.922,7.8
4.83,20.4
2.394,10.0
2.406,10.0
2.37,9.8
3.602,15.2
1.924,8.0
1.818,7.6
3.192,13.6
1.558,6.4
1.446,6.0
3.088,13.0
2.708,11.4
2.522,10.6
3.14,13.2
3.044,12.8
1.47,6.2
0.436,2.0
2.42,10.0
2.344,9.6
2.428,10.0
2.33,9.6
2.336,9.6
0.362,1.6
0.358,1.6
1.82,7.6
2.048,8.6
1.976,8.2
0.338,1.6
0.356,1.6
0.318,1.6
0.352,1.6
0.248,1.0
2.71,11.4
0.952,4.2
1.986,8.6
0.976,4.2
1.056,4.8
0.384,1.8
1.308,5.4
0.47,2.4
0.354,1.6
0.254,1.2
0.352,1.6
0.312,1.4
0.246,1.0
0.736,3.4
0.548,2.8
0.462,2.2
3.442,14.8
2.996,12.6
1.368,5.6
1.376,5.6
2.374,10.0
0.448,2.2
1.974,8.2
1.852,7.6
1.904,7.8
2.816,12.0
3.832,16.2
3.044,12.8
0.218,1.0
0.294,1.4
1.4,5.8
3.54,14.8
1.33,5.4
0.276,1.2
0.304,1.4
0.354,1.8
0.214,1.0
0.218,1.0
1.868,7.8
1.876,8.0
1.61,7.2
0.296,1.4
2.996,12.6
3.448,14.4
1.418,5.8
1.396,5.8
1.318,5.4
0.422,2.0
0.342,1.6
3.292,13.8
3.052,13.0
0.272,1.2
0.216,1.0
0.316,1.4
0.29,1.4
0.316,1.4
0.292,1.4
0.214,1.0
0.308,1.4
1.362,5.6
1.446,6.0
1.288,5.2
1.294,5.4
1.338,5.6
0.23,1.0
0.344,1.6
1.41,5.8
5.688,24.2
2.34,9.6
1.206,5.0
1.096,4.6
0.218,1.0
0.388,2.0
1.324,5.6
0.324,1.4
