T(K),Z*10^-4reported,Resist.(Ohm.cm),Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),Conduct.(S/cm),CellVolume(A^3),FormulaUnitsperCell,Atomsperformulaunit,totalatomsperunitcell
578.58,0.85,22.53,-41.84,0.41,23.73,-50.67,0.00,0.20,4.22,1683.85,452.18,4.08,8.37,26.10
300,0.85,50,-462.97,1.29E-04,50,-462.97,4.29E-07,0.20,4.22,2.00E-02,206.97,4,5,20
400,0.85,50,-462.97,1.71E-04,50,-462.97,4.29E-07,0.20,4.22,2.00E-02,206.97,4,5,20
700,0.85,2.417491884,-470.65,6.41E-03,50,-462.97,9.16E-06,0.20,4.22,4.14E-01,206.97,4,5,20
1000,0.85,0.177489866,-279.83,4.41E-02,50,-462.97,4.41E-05,0.20,4.22,5.63E+00,206.97,4,5,20
300,0.85,0.046114613,-201.71,2.65E-02,0.046115,-201.71,8.82E-05,0.20,4.22,2.17E+01,207.74,4,5,20
400,0.85,0.046114613,-201.71,3.53E-02,0.046115,-201.71,8.82E-05,0.20,4.22,2.17E+01,207.74,4,5,20
700,0.85,0.065049112,-224.12,5.41E-02,0.046115,-201.71,7.72E-05,0.20,4.22,1.54E+01,207.74,4,5,20
1000,0.85,0.041084466,-190.18,8.80E-02,0.046115,-201.71,8.80E-05,0.20,4.22,2.43E+01,207.74,4,5,20
300,0.85,0.015255507,-123.59,3.00E-02,0.015256,-123.59,1.00E-04,0.20,4.22,6.56E+01,208.49,4,5,20
400,0.85,0.015255507,-123.59,4.00E-02,0.015256,-123.59,1.00E-04,0.20,4.22,6.56E+01,208.49,4,5,20
700,0.85,0.02167829,-173.53,9.72E-02,0.015256,-123.59,1.39E-04,0.20,4.22,4.61E+01,208.49,4,5,20
1000,0.85,0.022216199,-160.09,1.15E-01,0.015256,-123.59,1.15E-04,0.20,4.22,4.50E+01,208.49,4,5,20
300,0.85,0.012167108,-103.74,2.65E-02,0.012167,-103.74,8.84E-05,0.20,4.22,8.22E+01,209.24,4,5,20
400,0.85,0.012167108,-103.74,3.54E-02,0.012167,-103.74,8.84E-05,0.20,4.22,8.22E+01,209.24,4,5,20
700,0.85,0.017025942,-127.43,6.68E-02,0.012167,-103.74,9.54E-05,0.20,4.22,5.87E+01,209.24,4,5,20
1000,0.85,0.018839701,-135.75,9.78E-02,0.012167,-103.74,9.78E-05,0.20,4.22,5.31E+01,209.24,4,5,20
300,0.85,0.009966115,-83.24,2.09E-02,0.009966,-83.24,6.95E-05,0.20,4.22,1.00E+02,209.93,4,5,20
400,0.85,0.009966115,-83.24,2.78E-02,0.009966,-83.24,6.95E-05,0.20,4.22,1.00E+02,209.93,4,5,20
700,0.85,0.013632206,-118.46,7.21E-02,0.009966,-83.24,1.03E-04,0.20,4.22,7.34E+01,209.93,4,5,20
1000,0.85,0.015706625,-140.88,1.26E-01,0.009966,-83.24,1.26E-04,0.20,4.22,6.37E+01,209.93,4,5,20
700,0.85,152.9285824,483.47,1.07E-04,23.73,-50.67,1.53E-07,0.20,4.22,6.54E-03,72.93,4,2,8
1000,0.85,14.64759355,642.62,2.82E-03,23.73,-50.67,2.82E-06,0.20,4.22,6.83E-02,72.93,4,2,8
400,0.85,28.86769359,294.97,1.21E-04,28.867694,294.97,3.01E-07,7.46E-06,16.1715,3.46E-02,72.93,4,2,8
700,0.85,0.262887397,249.75,1.66E-02,28.867694,294.97,2.37E-05,0.001458067,11.391,3.80E+00,72.93,4,2,8
1000,0.85,0.046604403,262.41,1.48E-01,28.867694,294.97,1.48E-04,0.017497599,8.44401,2.15E+01,72.93,4,2,8
400,0.85,5.08646999,249.37,4.89E-04,5.08647,249.37,1.22E-06,5.87E-05,8.32761,1.97E-01,72.93,4,2,8
700,0.85,0.031620853,200.39,8.89E-02,5.08647,249.37,1.27E-04,0.014790072,6.0105,3.16E+01,72.93,4,2,8
1000,0.85,0.028478426,206.66,1.50E-01,5.08647,249.37,1.50E-04,0.02826674,5.30518,3.51E+01,72.93,4,2,8
400,0.85,0.064272309,116.91,8.51E-03,0.064272,116.91,2.13E-05,0.20,4.22,1.56E+01,72.93,4,2,8
700,0.85,0.019804922,97.88,3.39E-02,0.064272,116.91,4.84E-05,0.20,4.22,5.05E+01,72.93,4,2,8
1000,0.85,0.006660716,105.17,1.66E-01,0.064272,116.91,1.66E-04,0.20,4.22,1.50E+02,72.93,4,2,8
400,0.85,0.012343256,102.59,3.41E-02,0.012343,102.59,8.53E-05,0.009093419,3.75078,8.10E+01,72.93,4,2,8
700,0.85,0.004865541,77.37,8.61E-02,0.012343,102.59,1.23E-04,0.024636562,3.49599,2.06E+02,72.93,4,2,8
1000,0.85,0.003874392,79.49,1.63E-01,0.012343,102.59,1.63E-04,0.063968983,2.54979,2.58E+02,72.93,4,2,8
300,0.85,5.007604258,-572.04,1.96E-03,2.925075,-549.12,6.53E-06,0.20,4.22,2.00E-01,206.97,4,5,20
