id,T(K),Z*10^-4reported,Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK)
0,578.58,0.85,-41.84,0.41,23.73,-50.67,0.00,0.20,4.22
1,300,0.85,-462.97,1.29E-04,50,-462.97,4.29E-07,0.20,4.22
2,400,0.85,-462.97,1.71E-04,50,-462.97,4.29E-07,0.20,4.22
3,700,0.85,-470.65,6.41E-03,50,-462.97,9.16E-06,0.20,4.22
4,1000,0.85,-279.83,4.41E-02,50,-462.97,4.41E-05,0.20,4.22
5,300,0.85,-201.71,2.65E-02,0.046115,-201.71,8.82E-05,0.20,4.22
6,400,0.85,-201.71,3.53E-02,0.046115,-201.71,8.82E-05,0.20,4.22
7,700,0.85,-224.12,5.41E-02,0.046115,-201.71,7.72E-05,0.20,4.22
8,1000,0.85,-190.18,8.80E-02,0.046115,-201.71,8.80E-05,0.20,4.22
9,300,0.85,-123.59,3.00E-02,0.015256,-123.59,1.00E-04,0.20,4.22
10,400,0.85,-123.59,4.00E-02,0.015256,-123.59,1.00E-04,0.20,4.22
11,700,0.85,-173.53,9.72E-02,0.015256,-123.59,1.39E-04,0.20,4.22
12,1000,0.85,-160.09,1.15E-01,0.015256,-123.59,1.15E-04,0.20,4.22
13,300,0.85,-103.74,2.65E-02,0.012167,-103.74,8.84E-05,0.20,4.22
14,400,0.85,-103.74,3.54E-02,0.012167,-103.74,8.84E-05,0.20,4.22
15,700,0.85,-127.43,6.68E-02,0.012167,-103.74,9.54E-05,0.20,4.22
16,1000,0.85,-135.75,9.78E-02,0.012167,-103.74,9.78E-05,0.20,4.22
17,300,0.85,-83.24,2.09E-02,0.009966,-83.24,6.95E-05,0.20,4.22
18,400,0.85,-83.24,2.78E-02,0.009966,-83.24,6.95E-05,0.20,4.22
19,700,0.85,-118.46,7.21E-02,0.009966,-83.24,1.03E-04,0.20,4.22
20,1000,0.85,-140.88,1.26E-01,0.009966,-83.24,1.26E-04,0.20,4.22
21,700,0.85,483.47,1.07E-04,23.73,-50.67,1.53E-07,0.20,4.22
22,1000,0.85,642.62,2.82E-03,23.73,-50.67,2.82E-06,0.20,4.22
23,400,0.85,294.97,1.21E-04,28.867694,294.97,3.01E-07,7.46E-06,16.1715
24,700,0.85,249.75,1.66E-02,28.867694,294.97,2.37E-05,0.001458067,11.391
25,1000,0.85,262.41,1.48E-01,28.867694,294.97,1.48E-04,0.017497599,8.44401
26,400,0.85,249.37,4.89E-04,5.08647,249.37,1.22E-06,5.87E-05,8.32761
27,700,0.85,200.39,8.89E-02,5.08647,249.37,1.27E-04,0.014790072,6.0105
28,1000,0.85,206.66,1.50E-01,5.08647,249.37,1.50E-04,0.02826674,5.30518
29,400,0.85,116.91,8.51E-03,0.064272,116.91,2.13E-05,0.20,4.22
30,700,0.85,97.88,3.39E-02,0.064272,116.91,4.84E-05,0.20,4.22
31,1000,0.85,105.17,1.66E-01,0.064272,116.91,1.66E-04,0.20,4.22
32,400,0.85,102.59,3.41E-02,0.012343,102.59,8.53E-05,0.009093419,3.75078
