T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),T Max,,,Conduct. (S/cm),,Power Factor*T (W/mK),Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,temp of ICSD (K),S,ke/ktotal,
578.58,0.85,22.53,-41.84,0.41,0.91,23.73,-50.67,0.00,0.20,4.22,0.61,0.91,0.91,1683.85,0.91,0.41,452.18,4.08,8.37,26.10,16.31,297.95,38933.42,0.91,0.91
300,0.85,50,-462.97,1.29E-04,0.91,50,-462.97,4.29E-07,0.20,4.22,0.61,0.91,0.91,2.00E-02,0.91,1.29E-04,206.97,4,5,20,10.3485,300,2.14E+05,0.91,0.91
400,0.85,50,-462.97,1.71E-04,0.91,50,-462.97,4.29E-07,0.20,4.22,0.61,0.91,0.91,2.00E-02,0.91,1.71E-04,206.97,4,5,20,10.3485,300,2.14E+05,0.91,0.91
700,0.85,2.417491884,-470.65,6.41E-03,0.91,50,-462.97,9.16E-06,0.20,4.22,0.61,0.91,0.91,4.14E-01,0.91,6.41E-03,206.97,4,5,20,10.3485,300,2.22E+05,0.91,0.91
1000,0.85,0.177489866,-279.83,4.41E-02,0.91,50,-462.97,4.41E-05,0.20,4.22,0.61,0.91,0.91,5.63E+00,0.91,4.41E-02,206.97,4,5,20,10.3485,300,7.83E+04,0.91,0.91
300,0.85,0.046114613,-201.71,2.65E-02,0.91,0.046115,-201.71,8.82E-05,0.20,4.22,0.61,0.91,0.91,2.17E+01,0.91,2.65E-02,207.74,4,5,20,10.387,300,4.07E+04,0.91,0.91
400,0.85,0.046114613,-201.71,3.53E-02,0.91,0.046115,-201.71,8.82E-05,0.20,4.22,0.61,0.91,0.91,2.17E+01,0.91,3.53E-02,207.74,4,5,20,10.387,300,4.07E+04,0.91,0.91
700,0.85,0.065049112,-224.12,5.41E-02,0.91,0.046115,-201.71,7.72E-05,0.20,4.22,0.61,0.91,0.91,1.54E+01,0.91,5.41E-02,207.74,4,5,20,10.387,300,5.02E+04,0.91,0.91
1000,0.85,0.041084466,-190.18,8.80E-02,0.91,0.046115,-201.71,8.80E-05,0.20,4.22,0.61,0.91,0.91,2.43E+01,0.91,8.80E-02,207.74,4,5,20,10.387,300,3.62E+04,0.91,0.91
300,0.85,0.015255507,-123.59,3.00E-02,0.91,0.015256,-123.59,1.00E-04,0.20,4.22,0.61,0.91,0.91,6.56E+01,0.91,3.00E-02,208.49,4,5,20,10.4245,300,1.53E+04,0.91,0.91
400,0.85,0.015255507,-123.59,4.00E-02,0.91,0.015256,-123.59,1.00E-04,0.20,4.22,0.61,0.91,0.91,6.56E+01,0.91,4.00E-02,208.49,4,5,20,10.4245,300,1.53E+04,0.91,0.91
700,0.85,0.02167829,-173.53,9.72E-02,0.91,0.015256,-123.59,1.39E-04,0.20,4.22,0.61,0.91,0.91,4.61E+01,0.91,9.72E-02,208.49,4,5,20,10.4245,300,3.01E+04,0.91,0.91
1000,0.85,0.022216199,-160.09,1.15E-01,0.91,0.015256,-123.59,1.15E-04,0.20,4.22,0.61,0.91,0.91,4.50E+01,0.91,1.15E-01,208.49,4,5,20,10.4245,300,2.56E+04,0.91,0.91
300,0.85,0.012167108,-103.74,2.65E-02,0.91,0.012167,-103.74,8.84E-05,0.20,4.22,0.61,0.91,0.91,8.22E+01,0.91,2.65E-02,209.24,4,5,20,10.462,300,1.08E+04,0.91,0.91
400,0.85,0.012167108,-103.74,3.54E-02,0.91,0.012167,-103.74,8.84E-05,0.20,4.22,0.61,0.91,0.91,8.22E+01,0.91,3.54E-02,209.24,4,5,20,10.462,300,1.08E+04,0.91,0.91
700,0.85,0.017025942,-127.43,6.68E-02,0.91,0.012167,-103.74,9.54E-05,0.20,4.22,0.61,0.91,0.91,5.87E+01,0.91,6.68E-02,209.24,4,5,20,10.462,300,1.62E+04,0.91,0.91
1000,0.85,0.018839701,-135.75,9.78E-02,0.91,0.012167,-103.74,9.78E-05,0.20,4.22,0.61,0.91,0.91,5.31E+01,0.91,9.78E-02,209.24,4,5,20,10.462,300,1.84E+04,0.91,0.91
300,0.85,0.009966115,-83.24,2.09E-02,0.91,0.009966,-83.24,6.95E-05,0.20,4.22,0.61,0.91,0.91,1.00E+02,0.91,2.09E-02,209.93,4,5,20,10.4965,300,6.93E+03,0.91,0.91
400,0.85,0.009966115,-83.24,2.78E-02,0.91,0.009966,-83.24,6.95E-05,0.20,4.22,0.61,0.91,0.91,1.00E+02,0.91,2.78E-02,209.93,4,5,20,10.4965,300,6.93E+03,0.91,0.91
700,0.85,0.013632206,-118.46,7.21E-02,0.91,0.009966,-83.24,1.03E-04,0.20,4.22,0.61,0.91,0.91,7.34E+01,0.91,7.21E-02,209.93,4,5,20,10.4965,300,1.40E+04,0.91,0.91
1000,0.85,0.015706625,-140.88,1.26E-01,0.91,0.009966,-83.24,1.26E-04,0.20,4.22,0.61,0.91,0.91,6.37E+01,0.91,1.26E-01,209.93,4,5,20,10.4965,300,1.98E+04,0.91,0.91
700,0.85,152.9285824,483.47,1.07E-04,0.91,23.73,-50.67,1.53E-07,0.20,4.22,0.61,0.91,0.91,6.54E-03,0.91,1.07E-04,72.93,4,2,8,9.11625,300,2.34E+05,0.91,0.91
1000,0.85,14.64759355,642.62,2.82E-03,0.91,23.73,-50.67,2.82E-06,0.20,4.22,0.61,0.91,0.91,6.83E-02,0.91,2.82E-03,72.93,4,2,8,9.11625,300,4.13E+05,0.91,0.91
400,0.85,28.86769359,294.97,1.21E-04,2.09E-06,28.867694,294.97,3.01E-07,7.46E-06,16.1715,0.61,2.09E-06,2.09E-06,3.46E-02,2.09E-06,1.21E-04,72.93,4,2,8,9.11625,300,8.70E+04,2.09E-06,2.09E-06
700,0.85,0.262887397,249.75,1.66E-02,0.000570369,28.867694,294.97,2.37E-05,0.001458067,11.391,0.61,0.000570369,0.000570369,3.80E+00,0.000570369,1.66E-02,72.93,4,2,8,9.11625,300,6.24E+04,0.00057037,0.000570369
1000,0.85,0.046604403,262.41,1.48E-01,0.00620032,28.867694,294.97,1.48E-04,0.017497599,8.44401,0.61,0.00620032,0.00620032,2.15E+01,0.00620032,1.48E-01,72.93,4,2,8,9.11625,300,6.89E+04,0.00620032,0.00620032
400,0.85,5.08646999,249.37,4.89E-04,2.30E-05,5.08647,249.37,1.22E-06,5.87E-05,8.32761,0.61,2.30E-05,2.30E-05,1.97E-01,2.30E-05,4.89E-04,72.93,4,2,8,9.11625,300,6.22E+04,2.30E-05,2.30E-05
700,0.85,0.031620853,200.39,8.89E-02,0.008986771,5.08647,249.37,1.27E-04,0.014790072,6.0105,0.61,0.008986771,0.008986771,3.16E+01,0.008986771,8.89E-02,72.93,4,2,8,9.11625,300,4.02E+04,0.00898677,0.008986771
1000,0.85,0.028478426,206.66,1.50E-01,0.016150044,5.08647,249.37,1.50E-04,0.02826674,5.30518,0.61,0.016150044,0.016150044,3.51E+01,0.016150044,1.50E-01,72.93,4,2,8,9.11625,300,4.27E+04,0.01615004,0.016150044
400,0.85,0.064272309,116.91,8.51E-03,0.91,0.064272,116.91,2.13E-05,0.20,4.22,0.61,0.91,0.91,1.56E+01,0.91,8.51E-03,72.93,4,2,8,9.11625,300,1.37E+04,0.91,0.91
700,0.85,0.019804922,97.88,3.39E-02,0.91,0.064272,116.91,4.84E-05,0.20,4.22,0.61,0.91,0.91,5.05E+01,0.91,3.39E-02,72.93,4,2,8,9.11625,300,9.58E+03,0.91,0.91
1000,0.85,0.006660716,105.17,1.66E-01,0.91,0.064272,116.91,1.66E-04,0.20,4.22,0.61,0.91,0.91,1.50E+02,0.91,1.66E-01,72.93,4,2,8,9.11625,300,1.11E+04,0.91,0.91
400,0.85,0.012343256,102.59,3.41E-02,0.021081353,0.012343,102.59,8.53E-05,0.009093419,3.75078,0.61,0.021081353,0.021081353,8.10E+01,0.021081353,3.41E-02,72.93,4,2,8,9.11625,300,1.05E+04,0.0210813,0.021081353
